Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10,CID.11,CID.12,CID.13,CID.14,CID.15,CID.16,CID.17,CID.18,CID.19,CID.20,CID.21,CID.22,CID.23,CID.24,CID.25,CID.26,CID.27,CID.28,CID.29,CID.30,CID.31,CID.32,CID.33,CID.34,CID.35,CID.36,CID.37,CID.38,CID.39,CID.40,CID.41,CID.42,CID.43,CID.44,CID.45,CID.46,CID.47,CID.48,CID.49,CID.50,CID.51,CID.52,CID.53,CID.54,CID.55,CID.56,CID.57
Ravia 4,37,31244,3776.0,61138.0,19310.0,7793.0,12020.0,263.0,9609.0,6569.0,84682.0,8857.0,7284.0,5318042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,38,7799,1068.0,6590.0,1031.0,176.0,61138.0,19310.0,7793.0,443158.0,11552.0,22386.0,9609.0,8063.0,6276.0,10448.0,8857.0,7895.0,11173.0,261.0,5284503.0,5318042.0,8103.0,637566.0,637776.0,24915.0,3314.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,39,31244,1031.0,176.0,3776.0,443158.0,11552.0,22386.0,527.0,6584.0,6569.0,84682.0,8063.0,6276.0,8857.0,261.0,5284503.0,5318042.0,8103.0,638011.0,637776.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,42,7799,1068.0,31244.0,1031.0,176.0,7150.0,61138.0,7793.0,443158.0,11552.0,22386.0,527.0,263.0,6584.0,1032.0,84682.0,8063.0,6276.0,7284.0,11173.0,5318042.0,8103.0,637566.0,638011.0,637776.0,3314.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,43,7799,1068.0,6590.0,1031.0,180.0,3776.0,7363.0,7150.0,14286.0,61138.0,8025.0,19310.0,6561.0,7793.0,443158.0,11552.0,12020.0,22386.0,62336.0,6584.0,6569.0,10448.0,7895.0,7284.0,11173.0,638011.0,637776.0,10890.0,8842.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,45,7799,1068.0,31244.0,1031.0,176.0,180.0,7363.0,14286.0,61138.0,8025.0,19310.0,7793.0,443158.0,264.0,11552.0,12020.0,527.0,263.0,1032.0,8063.0,8857.0,7284.0,11173.0,8103.0,637566.0,638011.0,24915.0,3314.0,10430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,46,1031,7363.0,7150.0,8025.0,527.0,84682.0,5318042.0,637566.0,638011.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,47,6590,31244.0,176.0,180.0,7150.0,14286.0,6561.0,7793.0,443158.0,22386.0,62336.0,527.0,9609.0,6584.0,6569.0,8063.0,6276.0,7895.0,11173.0,5284503.0,5318042.0,637566.0,637776.0,31266.0,10430.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,48,7363,14286.0,8025.0,6561.0,264.0,22386.0,62336.0,6569.0,84682.0,8063.0,11173.0,261.0,8103.0,637776.0,10890.0,24915.0,31266.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,49,6561,264.0,9609.0,1032.0,84682.0,10448.0,11173.0,637566.0,638011.0,637776.0,10890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,50,7799,6590.0,1031.0,176.0,180.0,7150.0,61138.0,6561.0,7793.0,264.0,12020.0,22386.0,62336.0,9609.0,6584.0,1032.0,84682.0,10448.0,7895.0,7284.0,11173.0,5318042.0,8103.0,10890.0,31266.0,10430.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,52,1031,7363.0,7150.0,8025.0,527.0,84682.0,5318042.0,637566.0,638011.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,53,7799,6590.0,31244.0,1031.0,7150.0,61138.0,19310.0,6561.0,7793.0,443158.0,11552.0,527.0,263.0,6584.0,1032.0,84682.0,10448.0,7284.0,5284503.0,637566.0,638011.0,637776.0,10890.0,24915.0,31266.0,3314.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,55,6590,31244.0,180.0,3776.0,7363.0,14286.0,19310.0,6561.0,264.0,9609.0,6569.0,6276.0,8857.0,7284.0,5318042.0,637566.0,638011.0,24915.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,56,7799,1068.0,31244.0,1031.0,176.0,7150.0,61138.0,7793.0,443158.0,11552.0,22386.0,527.0,263.0,6584.0,1032.0,84682.0,8063.0,6276.0,7284.0,11173.0,5318042.0,8103.0,637566.0,638011.0,637776.0,3314.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,57,1068,7150.0,14286.0,6561.0,7793.0,11552.0,22386.0,263.0,6569.0,8063.0,6276.0,8857.0,7284.0,261.0,5318042.0,8103.0,637566.0,637776.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,58,6590,7363.0,14286.0,61138.0,8025.0,264.0,12020.0,22386.0,263.0,9609.0,1032.0,8063.0,11173.0,10890.0,31266.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,59,6590,176.0,6561.0,264.0,62336.0,10448.0,8857.0,7284.0,11173.0,261.0,5318042.0,8103.0,638011.0,10890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,60,1068,31244.0,176.0,180.0,3776.0,7363.0,7150.0,61138.0,8025.0,7793.0,264.0,11552.0,22386.0,527.0,9609.0,6584.0,6569.0,84682.0,8063.0,6276.0,10448.0,7284.0,11173.0,261.0,10890.0,24915.0,10430.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,61,7799,1068.0,31244.0,176.0,180.0,3776.0,7363.0,14286.0,19310.0,264.0,11552.0,12020.0,22386.0,527.0,263.0,9609.0,84682.0,8063.0,6276.0,10448.0,7284.0,11173.0,5318042.0,8103.0,638011.0,637776.0,10890.0,31266.0,8842.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,62,7799,1068.0,6590.0,31244.0,176.0,7363.0,61138.0,6561.0,443158.0,12020.0,62336.0,527.0,6584.0,10448.0,8857.0,7895.0,11173.0,261.0,5284503.0,8103.0,31266.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,63,1068,31244.0,176.0,3776.0,7150.0,61138.0,8025.0,6561.0,62336.0,527.0,263.0,9609.0,6569.0,8063.0,5318042.0,3314.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,64,7799,1068.0,6590.0,31244.0,1031.0,176.0,180.0,3776.0,7363.0,14286.0,61138.0,8025.0,443158.0,12020.0,62336.0,527.0,263.0,9609.0,6584.0,84682.0,6276.0,10448.0,7284.0,11173.0,5318042.0,8103.0,637566.0,24915.0,31266.0,3314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,65,1031,176.0,3776.0,14286.0,19310.0,6561.0,7793.0,12020.0,263.0,6276.0,7284.0,8103.0,10890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,66,7799,1068.0,1031.0,180.0,3776.0,7363.0,8025.0,19310.0,6561.0,264.0,12020.0,62336.0,6584.0,1032.0,6276.0,10448.0,261.0,5318042.0,10890.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,67,1068,3776.0,7363.0,61138.0,443158.0,527.0,1032.0,84682.0,7284.0,637776.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,68,7799,1068.0,6590.0,1031.0,176.0,180.0,7363.0,7150.0,14286.0,61138.0,6561.0,12020.0,9609.0,6584.0,84682.0,6276.0,10448.0,8857.0,7284.0,11173.0,261.0,5284503.0,8103.0,637566.0,637776.0,10890.0,3314.0,8842.0,10430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,69,61138,264.0,11552.0,9609.0,8063.0,6276.0,10448.0,11173.0,5284503.0,8103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,70,1068,8025.0,6561.0,264.0,22386.0,263.0,9609.0,6584.0,6569.0,261.0,5318042.0,10890.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,71,1031,3776.0,7150.0,22386.0,6584.0,8063.0,6276.0,8857.0,261.0,8103.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,72,7799,1068.0,31244.0,1031.0,7793.0,264.0,62336.0,9609.0,6584.0,1032.0,6276.0,8857.0,7895.0,7284.0,11173.0,261.0,5284503.0,24915.0,3314.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,73,31244,1031.0,176.0,180.0,3776.0,7363.0,19310.0,6561.0,443158.0,264.0,11552.0,12020.0,62336.0,9609.0,1032.0,6569.0,84682.0,8063.0,6276.0,7895.0,7284.0,11173.0,261.0,5284503.0,5318042.0,637566.0,638011.0,10890.0,31266.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,74,6590,176.0,6561.0,443158.0,264.0,11552.0,12020.0,62336.0,6569.0,84682.0,10448.0,8857.0,261.0,5318042.0,637566.0,638011.0,637776.0,10890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,75,1068,31244.0,61138.0,527.0,9609.0,6569.0,10448.0,7895.0,261.0,5318042.0,8103.0,638011.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,76,6590,3776.0,7150.0,8025.0,263.0,9609.0,8857.0,261.0,637776.0,24915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,77,1068,31244.0,7150.0,14286.0,8025.0,7793.0,264.0,22386.0,261.0,5318042.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,78,180,7363.0,7793.0,11552.0,12020.0,22386.0,263.0,84682.0,6276.0,7895.0,7284.0,261.0,5284503.0,5318042.0,8103.0,638011.0,637776.0,24915.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,79,1068,1031.0,61138.0,7793.0,10448.0,7284.0,637566.0,637776.0,31266.0,3314.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,80,1068,6590.0,61138.0,6561.0,7793.0,22386.0,8857.0,11173.0,261.0,638011.0,637776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,81,6590,176.0,7363.0,14286.0,443158.0,11552.0,12020.0,22386.0,10448.0,7284.0,11173.0,5284503.0,5318042.0,637566.0,638011.0,637776.0,10890.0,31266.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,82,1068,31244.0,180.0,7363.0,7150.0,8025.0,7793.0,443158.0,264.0,527.0,9609.0,6584.0,1032.0,84682.0,6276.0,10448.0,8857.0,7284.0,11173.0,5284503.0,8103.0,637566.0,638011.0,637776.0,3314.0,10430.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,83,6590,176.0,7150.0,8025.0,19310.0,443158.0,264.0,6569.0,11173.0,261.0,8103.0,637566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,84,180,3776.0,7363.0,7150.0,61138.0,8025.0,7793.0,11552.0,12020.0,22386.0,62336.0,527.0,6584.0,84682.0,8063.0,6276.0,10448.0,638011.0,637776.0,10890.0,24915.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,86,1068,6590.0,31244.0,1031.0,3776.0,7363.0,7150.0,8025.0,19310.0,6561.0,443158.0,264.0,11552.0,12020.0,62336.0,527.0,9609.0,6584.0,1032.0,10448.0,8857.0,11173.0,261.0,8103.0,638011.0,10890.0,31266.0,3314.0,10430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,87,1068,6590.0,31244.0,176.0,3776.0,7150.0,8025.0,19310.0,7793.0,443158.0,264.0,12020.0,22386.0,1032.0,6569.0,84682.0,8063.0,6276.0,10448.0,8857.0,11173.0,5318042.0,8103.0,637566.0,638011.0,637776.0,3314.0,8842.0,10430.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,88,1068,3776.0,7363.0,61138.0,8025.0,19310.0,22386.0,62336.0,84682.0,8063.0,6276.0,10448.0,7284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,89,1031,180.0,7363.0,7150.0,8025.0,6561.0,443158.0,264.0,11552.0,12020.0,527.0,263.0,6584.0,6569.0,6276.0,10448.0,7284.0,5284503.0,637566.0,638011.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,90,1068,1031.0,61138.0,19310.0,11552.0,12020.0,8063.0,6276.0,10448.0,8857.0,7895.0,638011.0,24915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,91,1031,176.0,7363.0,14286.0,8025.0,7793.0,443158.0,527.0,263.0,6584.0,6276.0,10448.0,8857.0,7895.0,11173.0,5318042.0,637566.0,638011.0,10890.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,92,1031,180.0,7363.0,7150.0,8025.0,6561.0,443158.0,264.0,11552.0,12020.0,527.0,263.0,6584.0,6569.0,6276.0,10448.0,7284.0,5284503.0,637566.0,638011.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,93,1068,3776.0,7150.0,61138.0,19310.0,443158.0,264.0,12020.0,22386.0,62336.0,7284.0,5284503.0,8103.0,637566.0,24915.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,94,6590,3776.0,7363.0,7150.0,61138.0,8025.0,7793.0,443158.0,12020.0,22386.0,263.0,6569.0,84682.0,6276.0,10448.0,8857.0,7895.0,11173.0,261.0,5284503.0,8103.0,638011.0,10890.0,24915.0,31266.0,3314.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,96,1068,6590.0,31244.0,180.0,3776.0,7363.0,7150.0,61138.0,8025.0,19310.0,264.0,11552.0,22386.0,527.0,1032.0,6569.0,8063.0,6276.0,10448.0,8857.0,261.0,5284503.0,5318042.0,8103.0,638011.0,10890.0,24915.0,31266.0,3314.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,97,6590,31244.0,1031.0,7150.0,19310.0,6561.0,7793.0,264.0,12020.0,62336.0,263.0,9609.0,84682.0,8063.0,6276.0,10448.0,8857.0,11173.0,261.0,5284503.0,5318042.0,637566.0,638011.0,24915.0,8842.0,10430.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,98,6590,180.0,3776.0,7363.0,8025.0,19310.0,12020.0,22386.0,263.0,1032.0,6569.0,10448.0,7284.0,637776.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,99,1068,31244.0,180.0,7363.0,7150.0,8025.0,7793.0,443158.0,264.0,527.0,9609.0,6584.0,1032.0,84682.0,6276.0,10448.0,8857.0,7284.0,11173.0,5284503.0,8103.0,637566.0,638011.0,637776.0,3314.0,10430.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,100,1031,61138.0,8025.0,19310.0,6561.0,7793.0,11552.0,22386.0,527.0,9609.0,1032.0,10448.0,7284.0,11173.0,261.0,5284503.0,8103.0,638011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,101,3776,7363.0,7150.0,6561.0,7793.0,12020.0,22386.0,527.0,6584.0,1032.0,6569.0,84682.0,8063.0,6276.0,7284.0,5318042.0,8103.0,637566.0,637776.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,102,7799,6590.0,31244.0,176.0,7363.0,14286.0,61138.0,6561.0,62336.0,9609.0,6584.0,1032.0,84682.0,11173.0,5284503.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,103,1068,3776.0,7150.0,14286.0,61138.0,8025.0,19310.0,6561.0,7793.0,443158.0,11552.0,22386.0,62336.0,263.0,6584.0,84682.0,6276.0,10448.0,8857.0,7895.0,5284503.0,5318042.0,8103.0,637566.0,638011.0,24915.0,3314.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,104,1068,6590.0,31244.0,1031.0,176.0,7363.0,14286.0,61138.0,8025.0,19310.0,6561.0,11552.0,62336.0,527.0,263.0,9609.0,8063.0,6276.0,10448.0,7895.0,261.0,5284503.0,5318042.0,8103.0,637566.0,638011.0,24915.0,3314.0,8842.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,105,7799,3776.0,7150.0,19310.0,6561.0,6569.0,84682.0,6276.0,11173.0,637566.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,106,7799,1068.0,6590.0,176.0,7363.0,14286.0,8025.0,6561.0,7793.0,11552.0,263.0,9609.0,1032.0,6569.0,84682.0,8063.0,10448.0,7895.0,7284.0,11173.0,261.0,8103.0,637566.0,638011.0,10890.0,31266.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,107,31244,180.0,8025.0,19310.0,22386.0,263.0,10448.0,7895.0,10890.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,108,180,3776.0,7150.0,6561.0,7793.0,264.0,11552.0,22386.0,527.0,8857.0,7895.0,261.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,109,176,180.0,7363.0,264.0,12020.0,263.0,9609.0,1032.0,84682.0,6276.0,7895.0,11173.0,638011.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,110,3776,14286.0,8025.0,19310.0,443158.0,264.0,11552.0,12020.0,22386.0,62336.0,527.0,263.0,1032.0,6569.0,8063.0,10448.0,8857.0,7895.0,7284.0,261.0,5284503.0,8103.0,637566.0,637776.0,10890.0,24915.0,31266.0,8842.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,111,7799,1068.0,31244.0,3776.0,7150.0,14286.0,19310.0,6561.0,7793.0,12020.0,62336.0,263.0,6584.0,6276.0,10448.0,7284.0,5284503.0,8103.0,637566.0,637776.0,31266.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,112,1068,6590.0,31244.0,1031.0,3776.0,7363.0,7150.0,14286.0,6561.0,11552.0,12020.0,62336.0,527.0,9609.0,1032.0,6569.0,8063.0,6276.0,7284.0,11173.0,5318042.0,8103.0,3314.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,113,3776,7363.0,7150.0,8025.0,19310.0,264.0,12020.0,263.0,9609.0,84682.0,10448.0,7895.0,7284.0,5284503.0,5318042.0,8103.0,638011.0,24915.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,114,7799,1068.0,31244.0,1031.0,180.0,7363.0,7150.0,14286.0,8025.0,6561.0,264.0,22386.0,62336.0,263.0,9609.0,1032.0,84682.0,8063.0,6276.0,10448.0,11173.0,5284503.0,8103.0,637566.0,638011.0,24915.0,10430.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,115,7799,1068.0,31244.0,176.0,180.0,3776.0,7363.0,7150.0,14286.0,61138.0,19310.0,7793.0,443158.0,11552.0,12020.0,263.0,6584.0,1032.0,6569.0,84682.0,7895.0,11173.0,261.0,5318042.0,8103.0,637566.0,637776.0,24915.0,31266.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,116,7799,31244.0,1031.0,7363.0,14286.0,8025.0,19310.0,7793.0,12020.0,62336.0,8063.0,6276.0,7895.0,637776.0,31266.0,3314.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,117,6590,1031.0,176.0,180.0,7363.0,7150.0,14286.0,8025.0,19310.0,6561.0,7793.0,264.0,11552.0,62336.0,263.0,84682.0,8063.0,6276.0,10448.0,7895.0,11173.0,261.0,5284503.0,5318042.0,10890.0,31266.0,8842.0,10430.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,118,1068,1031.0,180.0,3776.0,14286.0,61138.0,8025.0,6561.0,7793.0,264.0,11552.0,12020.0,22386.0,263.0,6584.0,1032.0,8063.0,7284.0,5284503.0,8103.0,637776.0,10890.0,24915.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,119,7799,3776.0,264.0,62336.0,6569.0,10448.0,261.0,5284503.0,638011.0,10890.0,24915.0,31266.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,120,7799,1068.0,7150.0,19310.0,7793.0,264.0,527.0,263.0,6569.0,8857.0,7284.0,11173.0,261.0,8103.0,10890.0,24915.0,31266.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushdid,497,440917,5281515.0,8030.0,3314.0,31272.0,798.0,6184.0,8892.0,8025.0,6054.0,7463.0,8148.0,999.0,1060.0,22873.0,10890.0,61138.0,2879.0,10430.0,8048.0,6561.0,22386.0,11509.0,443162.0,8797.0,16666.0,7749.0,7793.0,7799.0,7762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
