Dataset,Mixture 1,Mixture 2,Overlap,Experimental Values
Bushdid,190,166,0.17647058823529413,0.692307692307692
Bushdid,394,118,0.6,0.346153846153846
Bushdid,203,403,0.8181818181818182,0.461538461538462
Bushdid,400,312,0.3333333333333333,0.6153846153846151
Bushdid,475,160,0.0,0.769230769230769
Bushdid,55,84,0.0,0.692307692307692
Bushdid,60,46,0.9354838709677419,0.2307692307692311
Bushdid,284,314,0.8181818181818182,0.769230769230769
Bushdid,395,104,0.8181818181818182,0.19230769230769199
Bushdid,517,299,0.9354838709677419,0.26923076923076894
Bushdid,170,159,0.8181818181818182,0.538461538461538
Bushdid,39,372,0.0,0.807692307692308
Bushdid,130,417,0.17647058823529413,0.769230769230769
Bushdid,373,165,0.2,0.769230769230769
Bushdid,239,128,0.2,0.4230769230769231
Bushdid,99,222,0.2,0.807692307692308
Bushdid,48,180,0.0,0.730769230769231
Bushdid,85,461,0.0,0.15384615384615385
Bushdid,269,502,0.2,0.5
Bushdid,230,280,0.42857142857142855,0.461538461538462
Bushdid,398,117,0.9047619047619048,0.15384615384615385
Bushdid,360,40,0.9354838709677419,0.461538461538462
Bushdid,320,214,0.14285714285714285,0.692307692307692
Bushdid,139,514,0.9354838709677419,0.30769230769230804
Bushdid,336,248,0.14285714285714285,0.576923076923077
Bushdid,32,235,0.0,0.6153846153846151
Bushdid,77,494,0.6,0.653846153846154
Bushdid,64,329,0.2,0.653846153846154
Bushdid,404,380,0.3333333333333333,0.538461538461538
Bushdid,224,271,0.3333333333333333,0.5
Bushdid,508,512,0.5,0.769230769230769
Bushdid,495,492,0.0,0.730769230769231
Bushdid,503,379,0.2,0.461538461538462
Bushdid,79,422,0.9354838709677419,0.5
Bushdid,91,399,0.14285714285714285,0.6153846153846151
Bushdid,168,149,0.2,0.730769230769231
Bushdid,135,127,0.3333333333333333,0.38461538461538497
Bushdid,436,262,0.17647058823529413,0.692307692307692
Bushdid,192,370,0.9354838709677419,0.30769230769230804
Bushdid,391,52,0.0,0.538461538461538
Bushdid,470,411,0.5,0.15384615384615385
Bushdid,265,366,0.0,0.730769230769231
Bushdid,381,464,0.14285714285714285,0.461538461538462
Bushdid,405,241,0.42857142857142855,0.30769230769230804
Bushdid,138,421,0.0,0.461538461538462
Bushdid,334,506,0.9047619047619048,0.26923076923076894
Bushdid,44,388,0.42857142857142855,0.730769230769231
Bushdid,298,273,0.0,0.653846153846154
Bushdid,187,143,0.0,0.730769230769231
Bushdid,390,440,0.2,0.576923076923077
Bushdid,519,328,0.17647058823529413,0.26923076923076894
Bushdid,418,375,0.9354838709677419,0.461538461538462
Bushdid,123,121,0.9047619047619048,0.4230769230769231
Bushdid,151,281,0.9354838709677419,0.19230769230769199
Bushdid,429,455,0.3333333333333333,0.538461538461538
Bushdid,36,452,0.8181818181818182,0.38461538461538497
Bushdid,96,321,0.0,0.653846153846154
Bushdid,291,124,0.17647058823529413,0.923076923076923
Bushdid,363,172,0.42857142857142855,0.4230769230769231
Bushdid,351,59,0.5,0.6153846153846151
Bushdid,80,276,0.9354838709677419,0.346153846153846
Bushdid,474,263,0.0,0.846153846153846
Bushdid,303,295,0.6,0.6153846153846151
Bushdid,43,288,0.5,0.38461538461538497
Bushdid,97,225,0.9047619047619048,0.4230769230769231
Bushdid,194,219,0.0,0.730769230769231
Bushdid,304,76,0.0,0.5
Bushdid,396,358,0.0,0.538461538461538
Bushdid,473,205,0.42857142857142855,0.38461538461538497
Bushdid,145,340,0.14285714285714285,0.846153846153846
Bushdid,155,122,0.0,0.653846153846154
Bushdid,200,282,0.6,0.26923076923076894
Bushdid,174,82,0.3333333333333333,0.26923076923076894
Bushdid,42,482,0.0,0.769230769230769
Bushdid,309,444,0.0,0.576923076923077
Bushdid,413,75,0.5,0.538461538461538
Bushdid,251,310,0.42857142857142855,0.6153846153846151
Bushdid,331,25,0.3333333333333333,0.4230769230769231
Bushdid,332,293,0.0,0.730769230769231
Bushdid,190,13,0.0,0.769230769230769
Bushdid,420,283,0.6,0.38461538461538497
Bushdid,182,9,0.14285714285714285,0.769230769230769
Bushdid,515,83,0.17647058823529413,0.692307692307692
Bushdid,442,311,0.9047619047619048,0.4230769230769231
Bushdid,457,54,0.8181818181818182,0.538461538461538
Bushdid,315,49,0.9047619047619048,0.461538461538462
Bushdid,393,448,0.6,0.653846153846154
Bushdid,154,233,0.0,0.692307692307692
Bushdid,456,468,0.3333333333333333,0.5
Bushdid,208,196,0.14285714285714285,0.4230769230769231
Bushdid,260,415,0.8181818181818182,0.730769230769231
Bushdid,210,377,0.9354838709677419,0.461538461538462
Bushdid,24,490,0.9047619047619048,0.538461538461538
Bushdid,188,361,0.14285714285714285,0.730769230769231
Bushdid,478,72,0.2,0.26923076923076894
Bushdid,270,23,0.0,0.653846153846154
Bushdid,148,308,0.8181818181818182,0.38461538461538497
Bushdid,19,267,0.9047619047619048,0.2307692307692311
Bushdid,264,346,0.9354838709677419,0.461538461538462
Bushdid,285,109,0.3333333333333333,0.5
Bushdid,119,301,0.9047619047619048,0.4230769230769231
Bushdid,462,466,0.2,0.4230769230769231
Bushdid,58,112,0.14285714285714285,0.538461538461538
Bushdid,463,107,0.5,0.346153846153846
Bushdid,157,447,0.42857142857142855,0.5
Bushdid,150,355,0.0,0.538461538461538
Bushdid,240,446,0.8181818181818182,0.461538461538462
Bushdid,432,18,0.17647058823529413,0.5
Bushdid,158,505,0.42857142857142855,0.730769230769231
Bushdid,297,465,0.3333333333333333,0.692307692307692
Bushdid,132,342,0.5,0.5
Bushdid,278,144,0.8181818181818182,0.30769230769230804
Bushdid,249,279,0.6,0.4230769230769231
Bushdid,408,369,0.42857142857142855,0.4230769230769231
Bushdid,493,362,0.0,0.846153846153846
Bushdid,89,4,0.0,0.692307692307692
Bushdid,487,5,0.9354838709677419,0.346153846153846
Bushdid,316,335,0.14285714285714285,0.5
Bushdid,199,177,0.14285714285714285,0.6153846153846151
Bushdid,62,257,0.17647058823529413,0.538461538461538
Bushdid,53,344,0.0,0.692307692307692
Bushdid,232,206,0.0,0.730769230769231
Bushdid,147,341,0.0,0.769230769230769
Bushdid,368,305,0.6,0.538461538461538
Bushdid,103,258,0.42857142857142855,0.653846153846154
Bushdid,352,220,0.0,0.692307692307692
Bushdid,171,431,0.8181818181818182,0.576923076923077
Bushdid,175,427,0.6,0.461538461538462
Bushdid,266,26,0.17647058823529413,0.576923076923077
Bushdid,359,347,0.42857142857142855,0.538461538461538
Bushdid,438,142,0.3333333333333333,0.769230769230769
Bushdid,162,330,0.17647058823529413,0.653846153846154
Bushdid,21,268,0.8181818181818182,0.461538461538462
Bushdid,113,378,0.0,0.807692307692308
Bushdid,247,349,0.9047619047619048,0.26923076923076894
Bushdid,435,20,0.9354838709677419,0.2307692307692311
Bushdid,56,136,0.0,0.769230769230769
Bushdid,499,81,0.8181818181818182,0.576923076923077
Bushdid,454,325,0.5,0.38461538461538497
Bushdid,272,129,0.17647058823529413,0.653846153846154
Bushdid,306,95,0.3333333333333333,0.5
Bushdid,236,238,0.9047619047619048,0.30769230769230804
Bushdid,47,479,0.17647058823529413,0.769230769230769
Bushdid,185,277,0.2,0.6153846153846151
Bushdid,480,28,0.2,0.576923076923077
Bushdid,357,289,0.9354838709677419,0.576923076923077
Bushdid,2,45,0.3333333333333333,0.576923076923077
Bushdid,353,93,0.2,0.576923076923077
Bushdid,486,7,0.42857142857142855,0.5
Bushdid,3,318,0.2,0.807692307692308
Bushdid,33,485,0.0,0.538461538461538
Bushdid,221,426,0.5,0.4230769230769231
Bushdid,195,445,0.0,0.769230769230769
Bushdid,115,296,0.6,0.6153846153846151
Bushdid,516,333,0.0,0.846153846153846
Bushdid,67,243,0.14285714285714285,0.576923076923077
Bushdid,153,513,0.42857142857142855,0.4230769230769231
Bushdid,237,65,0.0,0.692307692307692
Bushdid,106,451,0.3333333333333333,0.730769230769231
Bushdid,12,186,0.6,0.38461538461538497
Bushdid,509,98,0.3333333333333333,0.461538461538462
Bushdid,71,211,0.9354838709677419,0.38461538461538497
Bushdid,173,63,0.5,0.5
Bushdid,386,450,0.8181818181818182,0.38461538461538497
Bushdid,209,70,0.0,0.653846153846154
Bushdid,453,467,0.5,0.38461538461538497
Bushdid,41,17,0.5,0.576923076923077
Bushdid,216,114,0.6,0.4230769230769231
Bushdid,367,290,0.9047619047619048,0.07692307692307693
Bushdid,441,345,0.14285714285714285,0.653846153846154
Bushdid,244,10,0.3333333333333333,0.653846153846154
Bushdid,217,252,0.6,0.461538461538462
Bushdid,343,518,0.2,0.846153846153846
Bushdid,407,338,0.0,0.730769230769231
Bushdid,483,449,0.0,0.846153846153846
Bushdid,51,433,0.5,0.461538461538462
Bushdid,245,164,0.6,0.576923076923077
Bushdid,69,382,0.0,0.692307692307692
Bushdid,125,401,0.17647058823529413,0.730769230769231
Bushdid,350,459,0.0,0.538461538461538
Bushdid,22,275,0.2,0.807692307692308
