CID,nCIR,ZM1,GNar,S1K,piPC08,MATS1v,MATS7v,GATS1v,Eig05_AEA_bo_,SM02_AEA_bo_,SM03_AEA_dm_,SM10_AEA_dm_,SM13_AEA_dm_,SpMin3_Bh_v_,RDF035v,G1m,G1v,G1e,G3s,R8u_,nRCOSR
23642,1,40.0,1.876,6.65,2.151,-0.073,1.07,0.973,0.933,3.676,-2.0,8.475,0.817,1.084,1.004,0.236,0.197,0.197,0.321,0.0,0
24834,1,48.0,1.898,7.959,3.391,-0.042,0.079,1.043,2.107,3.882,-1.572,7.331,1.947,1.328,1.95,0.185,0.185,0.185,0.185,0.032,0
24915,1,74.0,1.848,12.924,4.436,-0.027,-0.091,1.196,2.5,4.241,-0.655,11.183,3.057,1.801,4.231,0.162,0.162,0.162,0.162,0.022,0
26331,1,34.0,1.929,5.232,0.0,-0.101,0.954,1.119,0.613,3.541,0.0,6.822,0.604,1.061,0.685,0.2,0.2,0.2,0.2,0.0,0
31219,1,52.0,1.906,8.949,3.976,-0.037,-0.361,1.085,1.827,3.942,-1.212,7.018,2.136,1.442,1.416,0.204,0.179,0.204,0.179,0.028,0
31244,1,44.0,1.888,6.97,0.0,-0.047,-0.851,0.992,1.631,3.818,-1.776,7.273,1.149,1.289,1.442,0.193,0.193,0.23,1.0,0.053,0
31249,0,46.0,1.698,11.273,1.099,-0.161,0.108,1.405,1.683,3.738,-1.527,6.355,1.584,1.685,0.293,0.658,0.658,0.658,0.242,0.025,0
31252,1,36.0,1.861,5.232,0.0,-0.101,0.954,1.119,0.5,3.597,0.0,6.623,0.0,1.222,0.486,1.0,1.0,1.0,1.0,0.0,0
31265,0,36.0,1.692,9.636,0.693,-0.126,-0.091,1.502,0.778,3.434,-1.883,6.066,0.943,1.634,0.386,0.175,0.175,0.175,0.198,0.024,0
31266,0,40.0,1.718,10.377,1.386,-0.111,-0.081,1.399,1.618,3.611,-1.698,6.088,1.139,1.646,1.285,0.195,0.174,0.174,0.185,0.024,0
31272,0,28.0,1.622,7.636,0.0,-0.167,-0.281,1.503,0.382,3.219,0.0,5.181,-0.576,1.444,0.364,0.188,0.188,0.188,0.326,0.037,0
31276,0,34.0,1.608,8.636,0.0,-0.144,-0.665,1.502,0.396,3.401,0.0,5.359,-0.553,1.468,2.277,0.181,0.181,0.181,0.195,0.032,0
31277,0,34.0,1.608,8.623,0.0,0.098,-0.245,0.879,0.484,3.497,0.0,5.359,-0.553,0.939,0.09,1.0,1.0,1.0,1.0,0.023,0
61016,0,38.0,1.644,9.416,0.0,-0.071,-0.564,1.387,0.866,3.584,-1.883,5.915,0.427,1.467,2.983,0.175,0.187,0.187,0.175,0.033,0
61072,1,72.0,1.803,12.226,3.714,0.0,-0.478,1.252,2.287,4.205,-1.0,12.8,3.691,1.665,5.959,0.161,0.161,0.161,0.161,0.022,0
61138,0,24.0,1.575,6.377,0.0,-0.061,0.816,1.212,0.158,3.219,0.0,5.17,-1.781,1.059,1.438,0.204,0.204,0.204,0.204,0.0,0
61199,1,48.0,1.783,7.445,0.0,-0.011,0.925,1.123,1.248,3.807,-1.812,10.135,0.949,1.359,3.09,0.188,0.188,0.188,0.235,0.0,0
61293,0,42.0,1.673,10.597,0.693,-0.095,-0.183,1.441,0.847,3.584,-1.646,6.848,1.406,1.63,0.553,0.174,0.174,0.174,0.226,0.034,0
61331,2,86.0,2.026,12.495,5.296,-0.019,-0.027,0.953,2.895,4.454,0.0,9.093,3.883,1.559,4.636,0.167,0.167,0.167,0.184,0.031,0
61670,3,56.0,2.097,6.292,6.019,-0.02,1.263,0.888,2.332,4.073,-1.385,9.943,2.814,1.444,2.117,0.191,0.191,0.191,1.0,0.0,0
61771,1,50.0,1.849,8.769,1.946,0.0,0.296,1.35,1.321,3.761,-1.414,9.596,2.6,1.517,5.888,0.19,0.19,0.171,0.19,0.027,0
61832,0,38.0,1.763,10.221,2.833,-0.058,-0.074,1.318,1.768,3.638,-1.683,3.792,1.341,1.669,2.507,0.171,0.171,0.171,0.171,0.026,0
62240,1,72.0,1.803,12.705,2.565,-0.029,-0.11,1.391,2.191,4.111,-1.0,12.806,3.243,1.684,9.081,0.159,0.185,0.173,0.173,0.029,0
62336,1,58.0,1.872,10.225,3.944,-0.068,-0.067,1.215,1.985,3.98,-1.0,9.598,2.136,1.542,3.302,0.171,0.171,0.19,0.199,0.032,0
62351,0,26.0,1.682,8.156,0.0,-0.07,-0.317,1.01,0.625,3.258,0.0,3.57,0.0,1.274,1.139,0.197,0.197,0.197,0.377,0.032,0
62378,1,54.0,1.861,9.503,2.485,0.0,-0.148,1.275,1.737,3.892,-1.359,9.701,2.72,1.716,3.903,0.169,0.188,0.179,0.169,0.028,0
62433,0,44.0,1.74,11.636,1.386,-0.102,-0.169,1.501,1.31,3.611,-1.414,6.089,1.722,1.654,0.598,0.184,0.167,0.167,0.333,0.019,0
62444,0,24.0,1.575,7.026,0.0,-0.052,0.664,1.231,-0.179,3.091,0.0,5.858,-0.884,1.319,0.243,0.197,0.197,0.236,0.197,0.0,1
62465,1,50.0,1.849,8.241,2.614,-0.008,0.047,1.087,1.592,3.861,-1.618,8.746,1.069,1.512,1.476,0.181,0.207,0.181,0.22,0.049,0
82227,3,58.0,1.966,6.45,1.609,0.059,0.0,1.204,1.0,3.932,-1.594,14.133,3.061,1.455,5.541,0.175,0.219,0.175,0.198,0.0,0
82229,3,66.0,1.898,7.331,0.0,0.057,0.0,1.209,1.683,4.06,-1.373,14.962,1.796,1.586,7.083,0.195,0.174,0.174,0.195,0.0,0
84682,0,16.0,1.431,4.961,0.0,-0.131,0.0,1.611,0.0,2.565,0.0,4.842,-3.226,0.996,0.637,0.204,0.25,0.25,0.204,0.0,0
89440,3,106.0,1.826,14.308,5.812,0.032,-0.05,1.171,3.101,4.58,-0.479,14.349,7.104,1.768,10.4,0.154,0.154,0.154,0.154,0.021,0
91497,6,112.0,1.965,13.178,6.268,0.041,-0.403,1.153,3.08,4.6,-0.103,15.537,7.481,1.802,8.314,0.165,0.176,0.165,0.186,0.022,0
93009,3,80.0,1.88,10.164,3.258,0.017,-0.209,1.267,2.393,4.234,-1.0,16.888,4.906,1.678,6.648,0.18,0.164,0.164,0.164,0.028,0
93375,1,46.0,1.835,7.522,1.609,0.0,0.164,1.227,1.056,3.761,-1.713,8.64,1.128,1.533,6.547,0.179,0.204,0.228,0.179,0.0,0
102861,1,72.0,1.861,13.377,3.045,-0.028,-0.137,1.32,2.273,4.143,-0.497,10.051,3.77,1.752,4.248,0.16,0.16,0.174,0.174,0.028,0
111418,4,94.0,2.091,11.736,4.718,0.027,-0.337,1.226,2.819,4.369,-0.139,11.143,5.495,1.669,6.331,0.157,0.182,0.157,0.157,0.026,0
439570,1,52.0,1.801,8.254,0.0,0.0,-1.0,1.157,1.336,3.932,-1.414,8.711,2.889,1.458,5.262,0.177,0.201,0.19,0.212,0.028,0
440917,1,46.0,1.835,7.586,0.0,0.0,-1.0,1.25,0.845,3.761,-1.77,8.192,2.275,1.463,4.635,0.175,0.175,0.187,0.219,0.027,0
440967,3,58.0,1.966,6.45,1.609,0.059,0.0,1.204,1.367,3.932,-1.594,14.133,3.061,1.399,7.455,0.198,0.219,0.187,0.175,0.0,0
443158,0,46.0,1.613,10.442,0.0,-0.042,-0.662,1.35,0.924,3.761,-1.509,10.76,0.566,1.51,4.484,0.171,0.19,0.171,0.19,0.034,0
443162,1,54.0,1.782,8.795,0.0,0.022,-0.918,1.303,0.792,3.85,-1.254,11.657,2.275,1.471,3.29,0.171,0.19,0.19,0.199,0.026,0
444972,0,30.0,1.565,7.013,0.0,0.109,1.263,0.824,0.448,3.497,0.0,5.547,-2.0,0.861,1.986,0.218,0.218,0.218,0.218,0.0,0
520296,1,68.0,1.929,13.7,2.833,-0.027,0.004,1.398,2.246,4.025,-0.41,7.438,2.982,1.827,1.799,0.156,0.156,0.156,0.238,0.019,0
556940,1,60.0,1.919,11.503,3.566,-0.042,0.014,1.091,2.118,4.03,-0.715,6.998,2.451,1.633,1.789,0.172,0.193,0.172,0.172,0.024,0
565690,1,80.0,1.807,14.696,3.219,-0.025,-0.284,1.405,2.664,4.205,-0.533,9.878,4.941,1.819,7.912,0.17,0.165,0.154,0.165,0.017,0
637511,1,42.0,1.943,6.752,4.275,0.0,0.165,0.907,2.116,3.839,-1.846,6.964,2.136,1.107,1.573,0.193,0.193,0.193,0.193,0.026,0
637563,1,48.0,1.898,8.023,3.804,-0.038,-0.042,1.074,1.679,3.882,-1.572,7.331,1.947,1.516,1.27,0.181,0.181,0.181,0.246,0.035,0
637566,0,42.0,1.673,10.442,2.197,-0.042,-0.566,1.35,1.0,3.664,-1.634,6.081,1.413,1.525,3.717,0.171,0.171,0.171,0.19,0.031,0
637776,1,58.0,1.872,9.967,4.386,-0.068,0.164,1.131,1.892,4.034,-0.909,9.124,1.973,1.539,1.463,0.174,0.174,0.195,0.205,0.026,0
638011,0,42.0,1.673,10.156,2.833,-0.062,-0.682,1.302,1.131,3.738,-1.634,6.081,1.413,1.489,3.742,0.174,0.174,0.195,0.195,0.034,0
638014,1,68.0,1.79,11.232,3.555,0.0,-0.685,1.234,2.27,4.159,-1.0,12.8,3.63,1.663,5.804,0.164,0.18,0.164,0.18,0.028,0
778574,1,66.0,1.888,11.671,4.841,-0.029,-0.077,1.102,2.5,4.182,-1.0,7.028,3.134,1.628,3.022,0.168,0.168,0.168,0.194,0.024,0
1550470,0,36.0,1.692,9.117,1.609,-0.121,-0.144,1.275,0.834,3.611,-1.883,6.066,0.943,1.54,1.054,0.198,0.198,0.198,1.0,0.026,0
1712087,1,50.0,1.849,8.795,2.565,-0.038,-0.301,1.361,1.0,3.761,-1.383,7.605,2.579,1.478,2.919,0.171,0.19,0.19,0.171,0.03,0
5273467,1,70.0,1.895,12.666,4.825,-0.027,-0.237,1.129,2.5,4.227,-0.614,7.026,3.148,1.662,3.972,0.164,0.164,0.18,0.211,0.013,0
5281167,0,22.0,1.641,6.701,0.0,-0.075,0.181,1.415,-0.194,2.996,0.0,3.414,-0.586,1.281,2.494,0.191,0.191,0.191,0.191,0.039,0
5281168,0,22.0,1.641,6.416,0.0,-0.104,0.144,1.334,0.0,3.135,0.0,3.414,-0.586,1.234,1.967,0.197,0.197,0.197,0.197,0.0,0
5281515,3,80.0,1.94,10.981,4.369,0.04,-0.265,1.235,2.087,4.263,-0.82,13.417,4.72,1.713,12.325,0.159,0.159,0.173,0.159,0.032,0
5283349,0,38.0,1.763,10.156,2.833,-0.062,-0.049,1.302,1.768,3.638,-1.683,3.792,1.341,1.62,1.646,0.195,0.215,0.195,0.215,0.026,0
5284503,0,22.0,1.641,6.701,0.0,-0.075,0.181,1.415,-0.194,2.996,0.0,3.414,-0.586,1.281,1.893,0.191,0.191,0.191,0.224,0.049,0
5318042,0,22.0,1.641,6.701,0.0,-0.075,0.181,1.415,-0.194,2.996,0.0,3.414,-0.586,1.295,1.914,0.191,0.191,0.191,0.191,0.04,0
5323652,0,30.0,1.565,7.377,0.0,-0.162,0.753,1.357,0.0,3.401,0.0,7.781,0.0,1.437,1.387,0.193,0.193,0.193,0.193,0.0,0
5352438,0,44.0,1.74,11.377,2.398,-0.1,0.096,1.408,1.675,3.689,-1.483,6.066,1.617,1.682,2.995,0.188,0.169,0.188,0.188,0.022,0
5363233,0,40.0,1.718,10.416,2.197,-0.064,0.009,1.398,1.281,3.611,-1.646,5.184,1.374,1.664,1.075,0.171,0.171,0.171,0.171,0.022,0
5363374,0,36.0,1.692,9.377,1.946,-0.124,0.026,1.388,0.848,3.526,-1.897,5.184,0.84,1.588,1.861,0.216,0.179,0.179,0.204,0.031,0
5364231,0,46.0,1.698,11.338,2.398,-0.081,0.15,1.347,1.668,3.738,-1.414,7.414,1.901,1.661,3.767,0.172,0.172,0.172,0.202,0.032,0
5365049,0,40.0,1.718,10.377,2.197,-0.111,0.124,1.399,1.473,3.611,-1.618,5.892,0.993,1.662,2.987,0.174,0.195,0.195,0.174,0.031,0
5366074,1,68.0,1.79,10.974,4.007,0.0,-0.432,1.159,2.529,4.205,-1.0,13.256,2.943,1.636,5.584,0.167,0.167,0.184,0.2,0.027,0
5367698,1,68.0,1.929,12.666,4.406,-0.027,0.004,1.129,2.5,4.197,-0.362,7.392,3.021,1.707,5.131,0.164,0.18,0.164,0.164,0.022,0
5373603,3,66.0,2.037,8.207,5.375,0.007,-0.074,0.912,2.548,4.197,-0.854,10.905,2.836,1.408,5.307,0.181,0.181,0.181,0.181,0.033,0
6259976,3,66.0,2.037,8.207,5.375,0.007,-0.074,0.912,2.548,4.197,-0.854,10.905,2.836,1.408,4.875,0.181,0.181,0.181,1.0,0.037,0
